Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-11-16,8½,1963,https://boxd.it/3raiiT,4,,,2022-11-15
2022-11-18,Black Panther: Wakanda Forever,2022,https://boxd.it/3rqB2d,3,,,2022-11-17
2022-11-20,The Menu,2022,https://boxd.it/3rMtBt,4.5,,,2022-11-19
2022-11-25,Aftersun,2022,https://boxd.it/3sQSpf,4,,,2022-11-24
2022-11-26,Roald Dahl's Matilda the Musical,2022,https://boxd.it/3t3ckj,3.5,,,2022-11-25
2022-11-29,She Said,2022,https://boxd.it/3tNhuF,3,,,2022-11-28
2022-12-01,Idiot Prayer: Nick Cave Alone at Alexandra Palace,2020,https://boxd.it/3u7D9T,4,,,2022-11-29
2022-12-04,Bill & Ted Face the Music,2020,https://boxd.it/3uDUtv,4,,,2022-12-03
2022-12-11,The Nightmare Before Christmas,1993,https://boxd.it/3w6MWh,3.5,,,2022-12-10
2022-12-16,Strange World,2022,https://boxd.it/3xjjd3,3.5,,,2022-12-15
2022-12-17,Avatar: The Way of Water,2022,https://boxd.it/3xuiK3,3,,,2022-12-16
2022-12-20,Anima,2019,https://boxd.it/3yfCyZ,4.5,,,2022-12-19
2023-01-03,I Wanna Dance with Somebody,2022,https://boxd.it/3Dw6z1,3.5,,,2023-01-02
2023-02-02,Knives Out,2019,https://boxd.it/3NwIHx,3.5,,,2023-01-03
2023-01-05,Glass Onion,2022,https://boxd.it/3E59mp,4,,,2023-01-04
2023-01-08,"Techno, Mama",2021,https://boxd.it/3Fy39L,3.5,,,2023-01-07
2023-01-09,A Man Called Otto,2022,https://boxd.it/3FNci3,4,,,2023-01-08
2023-01-11,Empire of Light,2022,https://boxd.it/3GvQHZ,3.5,,,2023-01-10
2023-01-13,Paris Is Burning,1990,https://boxd.it/3H3I9N,4,,,2023-01-12
2023-01-14,My Dinner with Andre,1981,https://boxd.it/3Hoz3N,4.5,,,2023-01-13
2023-01-16,TÁR,2022,https://boxd.it/3IeBTv,3.5,,,2023-01-15
2023-01-19,A Very Long Engagement,2004,https://boxd.it/3Jcjy5,3.5,,,2023-01-18
2023-01-20,Twelve Monkeys,1995,https://boxd.it/3Jpxgl,3.5,,,2023-01-19
2023-01-22,Babylon,2022,https://boxd.it/3K0aDl,4,,,2023-01-21
2023-02-03,The Fabelmans,2022,https://boxd.it/3NLtXl,3.5,,,2023-02-02
2023-02-04,Men,2022,https://boxd.it/3O523v,3.5,,,2023-02-03
2023-02-05,Puss in Boots: The Last Wish,2022,https://boxd.it/3Oi4Sh,4,,,2023-02-04
2023-02-06,The Whale,2022,https://boxd.it/3ONLRD,3.5,,,2023-02-05
2023-02-14,Guillermo del Toro's Pinocchio,2022,https://boxd.it/3QYOX5,4,,,2023-02-13
2023-02-16,Taxi Driver,1976,https://boxd.it/3RuTRb,4,,,2023-02-15
2023-02-21,Women Talking,2022,https://boxd.it/3SVBRb,3.5,,,2023-02-20
2023-03-03,Jumanji: Welcome to the Jungle,2017,https://boxd.it/3VGjzF,3,,,2023-03-02
2023-03-05,Close,2022,https://boxd.it/3WbfjZ,3.5,,,2023-03-04
2023-03-05,Broker,2022,https://boxd.it/3Wfzfr,3,,,2023-03-04
2023-03-12,Fantastic Planet,1973,https://boxd.it/3YnvXX,3.5,,,2023-03-11
2023-03-27,The Man Who Killed Don Quixote,2018,https://boxd.it/42skGH,3.5,,,2023-03-27
2023-03-29,Suspiria,1977,https://boxd.it/42MYrd,3.5,,,2023-03-28
2023-04-03,The Cabinet of Dr. Caligari,1920,https://boxd.it/44kyIJ,4,,,2023-04-03
2023-04-09,Air,2023,https://boxd.it/45L3vn,3,,,2023-04-08
2023-04-09,Rye Lane,2023,https://boxd.it/45NOkZ,4,,,2023-04-08
2023-04-10,The Super Mario Bros. Movie,2023,https://boxd.it/4694T9,4,,,2023-04-09
2023-04-13,Ponyo,2008,https://boxd.it/4741iN,3,,,2023-04-12
2023-04-14,Dungeons & Dragons: Honor Among Thieves,2023,https://boxd.it/47g11V,3.5,,,2023-04-13
2023-04-18,November,2017,https://boxd.it/48pexn,4,,,2023-04-17
2023-04-21,Renfield,2023,https://boxd.it/493NyZ,2.5,,,2023-04-20
2023-04-21,One Fine Morning,2022,https://boxd.it/496PHb,3.5,,,2023-04-20
2023-04-23,Wayne's World,1992,https://boxd.it/49BRMf,3.5,,,2023-04-22
2023-04-25,Suzume,2022,https://boxd.it/4adup9,3.5,,,2023-04-24
2023-04-26,The Straight Story,1999,https://boxd.it/4aBK1P,4,,,2023-04-25
2023-05-05,WHAT DID JACK DO?,2017,https://boxd.it/4d2uHd,4,,,2023-05-04
2023-05-06,Stan & Ollie,2018,https://boxd.it/4d6xbn,3.5,,,2023-05-05
2023-05-11,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/4evBxV,3,,,2023-05-10
2023-05-15,Gods and Monsters,1998,https://boxd.it/4fzhrZ,,,,2023-05-14
2023-05-25,Wild at Heart,1990,https://boxd.it/4hOoiD,4,,,2023-05-23
2023-06-01,Beau Is Afraid,2023,https://boxd.it/4jIa5L,3.5,,,2023-05-31
2023-06-11,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/4mjqmZ,3.5,,,2023-06-10
2023-06-16,The Flash,2023,https://boxd.it/4nF1IT,3,,,2023-06-15
2023-06-19,Café Society,2016,https://boxd.it/4ouWJL,3.5,,,2023-06-18
2023-06-23,The Green Knight,2021,https://boxd.it/4pHsaB,4.5,,,2023-06-22
2023-06-24,Asteroid City,2023,https://boxd.it/4pUPIx,3,,,2023-06-23
2023-06-30,Indiana Jones and the Dial of Destiny,2023,https://boxd.it/4rGa5f,4,,,2023-06-29
2023-07-03,The Metamorphosis of Birds,2020,https://boxd.it/4swzhT,,,,2023-07-01
2023-07-09,The Assassination Bureau,1969,https://boxd.it/4ugr5B,4,,,2023-07-08
2023-07-09,Anchorman 2: The Legend Continues,2013,https://boxd.it/4uwKdh,3,,,2023-07-09
2023-07-11,Mission: Impossible – Dead Reckoning Part One,2023,https://boxd.it/4uYKcT,3.5,,,2023-07-10
2023-07-14,The Twelve Tasks of Asterix,1976,https://boxd.it/4vQnMn,3.5,,,2023-07-13
2023-07-22,Oppenheimer,2023,https://boxd.it/4yJAGF,4,,,2023-07-21
2023-07-22,Barbie,2023,https://boxd.it/4yJAOf,4,,,2023-07-21
2023-08-06,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,https://boxd.it/4Ei68D,3,,,2023-08-03
2023-08-11,Daughter of the Crater,2019,https://boxd.it/4G8fi1,3.5,,,2023-08-10
2023-08-11,A New Old Play,2021,https://boxd.it/4G8g3B,,,,2023-08-10
2023-09-01,Godzilla vs. Kong,2021,https://boxd.it/4MC8Vp,3,,,2023-08-31
2023-09-01,Classic Albums: Paul Simon - Graceland,1997,https://boxd.it/4MEfl3,3.5,,,2023-09-01
2023-09-04,Harry Dean Stanton: Partly Fiction,2012,https://boxd.it/4NGaIT,3.5,,,2023-09-04
2023-09-09,Inland Empire,2006,https://boxd.it/4P1rdf,4.5,,,2023-09-08
2023-09-10,A Matter of Loaf and Death,2008,https://boxd.it/4PmSyL,4,,,2023-09-09
2023-09-16,Annie Hall,1977,https://boxd.it/4QSpb7,4.5,,,2023-09-15
2023-09-25,One More Time with Feeling,2016,https://boxd.it/4TqZkZ,4,,,2023-09-24
2023-09-25,Love Infinity - When The Sun Goes Down,2022,https://boxd.it/4TtJhL,3.5,,,2023-09-24
2023-09-26,David Lynch: The Art Life,2016,https://boxd.it/4TKjO9,4,,,2023-09-25
2023-09-27,This Much I Know to Be True,2022,https://boxd.it/4TXWxn,4.5,,,2023-09-25
2023-09-27,The Cowboy and the Frenchman,1988,https://boxd.it/4TZ2sZ,3.5,,,2023-09-26
2023-09-30,The Mad Fox,1962,https://boxd.it/4V1wNh,3.5,,,2023-09-30
2023-10-03,Luz: The Flower of Evil,2019,https://boxd.it/4VTPVn,4,,,2023-10-02
2023-10-03,The Swan,2023,https://boxd.it/4VW0lJ,3.5,,,2023-10-02
2023-10-03,The Rat Catcher,2023,https://boxd.it/4VWM8D,3.5,,,2023-10-02
2023-10-03,Poison,2023,https://boxd.it/4VWMuT,3.5,,,2023-10-02
2023-10-06,The Wonderful Story of Henry Sugar,2023,https://boxd.it/4WStUf,3.5,,,2023-10-05
2023-10-08,The Squid and the Whale,2005,https://boxd.it/4XJwOP,4,,,2023-10-08
2023-10-21,Killers of the Flower Moon,2023,https://boxd.it/51HzCf,4,,,2023-10-20
2023-10-22,The Creator,2023,https://boxd.it/522jjj,3.5,,,2023-10-21
2023-10-23,Häxan,1922,https://boxd.it/52tLTj,4,,,2023-10-22
2023-10-25,A Haunting in Venice,2023,https://boxd.it/537AgZ,3.5,,,2023-10-24
2023-10-29,Bob Dylan: 1978-1989 - Both Ends of the Rainbow,2008,https://boxd.it/54k98J,3,,,2023-10-28
2023-11-07,Capote,2005,https://boxd.it/57HZ4H,3.5,,,2023-11-06
2023-11-08,The Royal Hotel,2023,https://boxd.it/57XxJz,4,,,2023-11-07
2023-11-11,In the Loop,2009,https://boxd.it/58MCZf,3.5,,,2023-11-07
2023-11-11,The Seventh Seal,1957,https://boxd.it/58MDi7,4.5,,,2023-11-10
2023-11-13,All Quiet on the Western Front,2022,https://boxd.it/59qKf5,4,,,2023-11-12
2023-11-20,Mami Wata,2023,https://boxd.it/5bWT6j,3.5,,,2023-11-19
2023-11-21,American Psycho,2000,https://boxd.it/5ceEgT,3.5,,,2023-11-20
2023-11-23,Benedetta,2021,https://boxd.it/5cGZKB,4.5,,,2023-11-22
2023-11-24,Napoleon,2023,https://boxd.it/5cXLp9,4,,,2023-11-23
2023-12-01,Parallel Mothers,2021,https://boxd.it/5fqWen,,,,2023-11-30
2023-12-07,Eileen,2023,https://boxd.it/5htsL1,4,,,2023-12-06
2023-12-14,Wonka,2023,https://boxd.it/5jVyXV,3.5,,,2023-12-13
2023-12-16,Saltburn,2023,https://boxd.it/5kAVOf,4,,,2023-12-15
