Date,Name,Year,Letterboxd URI
2023-01-11,Empire of the Sun,1987,https://boxd.it/1X4i
2023-01-18,Autumn Sonata,1978,https://boxd.it/1Rio
2023-01-18,Un Chien Andalou,1929,https://boxd.it/29Y8
2023-01-18,The Young and the Damned,1950,https://boxd.it/29AA
2023-01-18,La Dolce Vita,1960,https://boxd.it/2anC
2023-01-18,THX 1138,1971,https://boxd.it/29Ww
2023-01-18,Theatre of Blood,1973,https://boxd.it/1psg
2023-01-18,On the Waterfront,1954,https://boxd.it/29TC
2023-01-18,Fantasia,1940,https://boxd.it/29HG
2023-01-18,Days of the Bagnold Summer,2019,https://boxd.it/lgRm
2023-01-18,Day of Wrath,1943,https://boxd.it/ZtM
2023-01-18,Being John Malkovich,1999,https://boxd.it/2ahu
2023-01-18,Midsommar,2019,https://boxd.it/jhxe
2023-01-18,"Norte, The End of History",2013,https://boxd.it/5FkU
2023-01-18,An Elephant Sitting Still,2018,https://boxd.it/i1EQ
2023-01-18,Booksmart,2019,https://boxd.it/igNS
2023-01-18,Memoria,2021,https://boxd.it/iwtE
2023-01-18,Zama,2017,https://boxd.it/aDDq
2023-01-18,The Babadook,2014,https://boxd.it/77xu
2023-01-18,Suspiria,2018,https://boxd.it/cioI
2023-01-18,I Lost My Body,2019,https://boxd.it/lAYs
2023-01-18,High Life,2018,https://boxd.it/d6bk
2023-01-18,Evolution,2015,https://boxd.it/aQNS
2023-01-18,The Ornithologist,2016,https://boxd.it/d6Z0
2023-01-18,Lemonade,2016,https://boxd.it/dMMM
2023-01-18,Small Axe,2020,https://boxd.it/rVjM
2023-01-18,Good Time,2017,https://boxd.it/fcFu
2023-01-18,PK,2014,https://boxd.it/9q1G
2023-01-18,Flame,2018,https://boxd.it/iLdc
2023-01-18,King Rocker,2020,https://boxd.it/lxfO
2023-01-18,The Color Purple,1985,https://boxd.it/29oO
2023-01-18,Space Is the Place,1974,https://boxd.it/1KBo
2023-01-18,The Wiz,1978,https://boxd.it/1wG0
2023-01-18,Buffalo '66,1998,https://boxd.it/1YC6
2023-01-18,Bad,1977,https://boxd.it/85i
2023-01-18,Basquiat,1996,https://boxd.it/2a9A
2023-01-18,Othello,1951,https://boxd.it/K5A
2023-01-18,The Other Side of the Wind,2018,https://boxd.it/9w5Y
2023-01-18,Touch of Evil,1958,https://boxd.it/28II
2023-01-18,Franz Kafka's It's a Wonderful Life,1993,https://boxd.it/Jp0
2023-01-18,The Fly,1986,https://boxd.it/1YIe
2023-01-18,Pink Floyd: The Wall,1982,https://boxd.it/1Sxk
2023-01-18,Belle,2021,https://boxd.it/tbEe
2023-01-18,Apocalypse Now,1979,https://boxd.it/6ZS
2023-01-18,Wings of Desire,1987,https://boxd.it/2b26
2023-01-18,The American Friend,1977,https://boxd.it/1UkC
2023-01-18,Papillon,1973,https://boxd.it/22kK
2023-01-18,Old Henry,2021,https://boxd.it/ty1u
2023-01-18,Punch-Drunk Love,2002,https://boxd.it/20E4
2023-01-18,Phantom Thread,2017,https://boxd.it/e4uc
2023-01-18,The Human Condition III: A Soldier's Prayer,1961,https://boxd.it/1dIQ
2023-01-18,The Human Condition II: Road to Eternity,1959,https://boxd.it/1dJa
2023-01-18,The Human Condition I: No Greater Love,1959,https://boxd.it/1jAy
2023-01-18,Harakiri,1962,https://boxd.it/1NTU
2023-01-18,I Knew It Was You: Rediscovering John Cazale,2009,https://boxd.it/PpA
2023-01-18,The Amazing Mr. Blunden,1972,https://boxd.it/vJK
2023-01-18,The Amazing Mr. Blunden,2021,https://boxd.it/xWbw
2023-01-18,Sunset Boulevard,1950,https://boxd.it/2a20
2023-01-18,Stanley Kubrick's Boxes,2008,https://boxd.it/3mBI
2023-01-18,The Shining,1980,https://boxd.it/29Nu
2023-01-18,A Clockwork Orange,1971,https://boxd.it/2aVE
2023-01-18,Eyes Wide Shut,1999,https://boxd.it/2axs
2023-01-18,Full Metal Jacket,1987,https://boxd.it/2a1Q
2023-01-18,Lolita,1962,https://boxd.it/29Ag
2023-01-18,Stalker,1979,https://boxd.it/28PO
2023-01-18,The Sacrifice,1986,https://boxd.it/1xg8
2023-01-18,Mirror,1975,https://boxd.it/28Q8
2023-01-18,Perfect Blue,1997,https://boxd.it/1W7A
2023-01-18,Millennium Actress,2001,https://boxd.it/1fK0
2023-01-18,Can You Ever Forgive Me?,2018,https://boxd.it/e7x4
2023-01-18,Withnail & I,1987,https://boxd.it/1Qa4
2023-01-18,The Secret of NIMH,1982,https://boxd.it/1Tc8
2023-01-18,The North Water,2021,https://boxd.it/q0nq
2023-01-18,The Godfather: Part II,1974,https://boxd.it/2aNq
